City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,la ronge,55.1001,-105.2842,-4.27,89,100,7.16,CA,1713492754
83,calama,-22.4667,-68.9333,16.46,25,0,1.29,CL,1713492756
84,codrington,-38.2667,141.9667,16.44,56,44,7.87,AU,1713492757
85,pisco,-13.7,-76.2167,20.03,83,80,0.51,PE,1713492758
86,fale old settlement,-9.3852,-171.2468,29.62,74,9,5.13,TK,1713492759
87,ust-nera,64.5667,143.2,-1.83,77,75,1.84,RU,1713492760
88,avarua,-21.2078,-159.775,28.03,78,20,4.63,CK,1713492762
89,touros,-5.1989,-35.4608,26.93,85,100,3.5,BR,1713492763
90,whitehorse,60.7161,-135.0538,6.89,65,0,2.19,CA,1713492764
91,oroqen zizhiqi,50.5667,123.7167,4.98,25,52,1.57,CN,1713492766
92,ilulissat,69.2167,-51.1,-9.99,79,100,3.09,GL,1713492768
93,nishinoomote,30.7333,131.0,20.96,56,99,3.13,JP,1713492769
94,sao paulo de olivenca,-3.3783,-68.8725,23.11,99,100,0.58,BR,1713492770
95,dembi dolo,8.5333,34.8,17.25,75,48,1.07,ET,1713492771
96,walvis bay,-22.9575,14.5053,16.1,83,2,3.74,NA,1713492772
97,higuera de zaragoza,25.95,-109.2833,25.96,41,57,1.81,MX,1713492773
98,xilin hot,43.9667,116.0333,8.22,18,100,5.61,CN,1713492774
99,lihue,21.9789,-159.3672,23.58,80,100,7.72,US,1713492776
100,tsiombe,-25.3,45.4833,21.59,65,100,2.64,MG,1713492777
101,san jose del guaviare,2.5729,-72.6459,23.46,97,100,0.63,CO,1713492778
102,nova sintra,14.8667,-24.7167,24.26,73,32,11.35,CV,1713492779
103,keflavik,64.0049,-22.5624,1.24,75,75,3.6,IS,1713492780
104,pathein,16.7833,94.7333,31.92,51,0,4.34,MM,1713492781
105,westport,41.1415,-73.3579,8.09,80,100,3.6,US,1713492700
106,talnakh,69.4865,88.3972,-1.55,97,100,3.4,RU,1713492786
107,kilindoni,-7.9139,39.6668,25.7,88,100,7.19,TZ,1713492787
108,kyzyl-suu,42.3414,78.0056,8.32,63,100,0.6,KG,1713492788
109,bodo,67.28,14.405,1.54,58,0,7.2,NO,1713492790
110,aasiaat,68.7098,-52.8699,-11.03,91,100,0.68,GL,1713492791
111,college,64.8569,-147.8028,15.18,34,75,0.0,US,1713492512
112,vila franca do campo,37.7167,-25.4333,18.27,99,46,3.97,PT,1713492793
113,bilibino,68.0546,166.4372,-6.11,74,20,1.19,RU,1713492794
114,kirakira,-10.4544,161.9205,30.06,70,48,3.38,SB,1713492795
115,mejit,10.2753,170.8646,27.14,84,17,9.91,MH,1713492797
116,san patricio,28.017,-97.5169,24.91,81,100,6.1,US,1713492798
117,st. john's,47.5649,-52.7093,1.49,97,100,4.47,CA,1713492799
118,murray,40.6669,-111.888,11.54,43,0,4.63,US,1713492800
119,albany,42.6001,-73.9662,7.36,74,100,2.42,US,1713492801
